movie_id,sentence_id,dependency_class,dependency_type,governor_id,governor_word,dependent_id,dependent_word
10000053,1,basic,nn,6,te,1,Fur
10000053,1,basic,nn,6,te,2,trapper
10000053,1,basic,nn,6,te,3,Jean
10000053,1,basic,nn,6,te,4,La
10000053,1,basic,nn,6,te,5,B
10000053,1,basic,nsubj,7,paddles,6,te
10000053,1,basic,poss,9,canoe,8,his
10000053,1,basic,dobj,7,paddles,9,canoe
10000053,1,basic,prep,7,paddles,10,through
10000053,1,basic,amod,12,water,11,wild
10000053,1,basic,pobj,10,through,12,water
10000053,1,basic,prep,12,water,13,towards
10000053,1,basic,det,15,settlement,14,the
10000053,1,basic,pobj,13,towards,15,settlement
10000053,1,basic,mark,19,sell,16,in
10000053,1,basic,dep,19,sell,17,order
10000053,1,basic,aux,19,sell,18,to
10000053,1,basic,purpcl,7,paddles,19,sell
10000053,1,basic,det,21,load,20,a
10000053,1,basic,dobj,19,sell,21,load
10000053,1,basic,prep,21,load,22,of
10000053,1,basic,pobj,22,of,23,furs
10000053,1,collapsed,nn,6,te,1,Fur
10000053,1,collapsed,nn,6,te,2,trapper
10000053,1,collapsed,nn,6,te,3,Jean
10000053,1,collapsed,nn,6,te,4,La
10000053,1,collapsed,nn,6,te,5,B
10000053,1,collapsed,nsubj,7,paddles,6,te
10000053,1,collapsed,poss,9,canoe,8,his
10000053,1,collapsed,dobj,7,paddles,9,canoe
10000053,1,collapsed,amod,12,water,11,wild
10000053,1,collapsed,prep_through,7,paddles,12,water
10000053,1,collapsed,det,15,settlement,14,the
10000053,1,collapsed,prep_towards,12,water,15,settlement
10000053,1,collapsed,mark,19,sell,16,in
10000053,1,collapsed,dep,19,sell,17,order
10000053,1,collapsed,aux,19,sell,18,to
10000053,1,collapsed,purpcl,7,paddles,19,sell
10000053,1,collapsed,det,21,load,20,a
10000053,1,collapsed,dobj,19,sell,21,load
10000053,1,collapsed,prep_of,21,load,23,furs
10000053,1,collapsed-ccprocessed,nn,6,te,1,Fur
10000053,1,collapsed-ccprocessed,nn,6,te,2,trapper
10000053,1,collapsed-ccprocessed,nn,6,te,3,Jean
10000053,1,collapsed-ccprocessed,nn,6,te,4,La
10000053,1,collapsed-ccprocessed,nn,6,te,5,B
10000053,1,collapsed-ccprocessed,nsubj,7,paddles,6,te
10000053,1,collapsed-ccprocessed,poss,9,canoe,8,his
10000053,1,collapsed-ccprocessed,dobj,7,paddles,9,canoe
10000053,1,collapsed-ccprocessed,amod,12,water,11,wild
10000053,1,collapsed-ccprocessed,prep_through,7,paddles,12,water
10000053,1,collapsed-ccprocessed,det,15,settlement,14,the
10000053,1,collapsed-ccprocessed,prep_towards,12,water,15,settlement
10000053,1,collapsed-ccprocessed,mark,19,sell,16,in
10000053,1,collapsed-ccprocessed,dep,19,sell,17,order
10000053,1,collapsed-ccprocessed,aux,19,sell,18,to
10000053,1,collapsed-ccprocessed,purpcl,7,paddles,19,sell
10000053,1,collapsed-ccprocessed,det,21,load,20,a
10000053,1,collapsed-ccprocessed,dobj,19,sell,21,load
10000053,1,collapsed-ccprocessed,prep_of,21,load,23,furs
10000053,2,basic,prep,7,landing,1,At
10000053,2,basic,det,3,settlement,2,the
10000053,2,basic,pobj,1,At,3,settlement
10000053,2,basic,det,5,steamboat,4,a
10000053,2,basic,nsubj,7,landing,5,steamboat
10000053,2,basic,cop,7,landing,6,is
10000053,2,basic,cc,7,landing,8,and
10000053,2,basic,det,10,trader,9,the
10000053,2,basic,nsubj,16,arrive,10,trader
10000053,2,basic,cc,10,trader,11,and
10000053,2,basic,poss,14,Eve,12,his
10000053,2,basic,amod,14,Eve,13,foster-child
10000053,2,basic,conj,10,trader,14,Eve
10000053,2,basic,conj,7,landing,16,arrive
10000053,2,basic,prep,16,arrive,17,at
10000053,2,basic,det,19,seaport,18,the
10000053,2,basic,pobj,17,at,19,seaport
10000053,2,basic,aux,21,fetch,20,to
10000053,2,basic,infmod,19,seaport,21,fetch
10000053,2,basic,nn,25,goods,22,mail
10000053,2,basic,cc,22,mail,23,and
10000053,2,basic,conj,22,mail,24,consumer
10000053,2,basic,dobj,21,fetch,25,goods
10000053,2,collapsed,det,3,settlement,2,the
10000053,2,collapsed,prep_at,7,landing,3,settlement
10000053,2,collapsed,det,5,steamboat,4,a
